id	text	tweet
379	Eleições2018	1053076314519994369
380	caixa2dobolsonaro	1053076316906500096
381	caixa2dobolsonaro	1053076316906500096
382	caixa2dobolsonaro	1053076316906500096
383	caixa2dobolsonaro	1053076316906500096
384	caixa2dobolsonaro	1053076316906500096
385	G1	1053076318445805569
386	caixa2deBolsonaro	1053076322434641920
387	Bolsolao	1053076322434641920
388	Caixa2doBolsanaro	1053076379254902784
389	Caixa2doBolsanaro	1053076409348997120
390	Caixa2doBolsanaro	1053076412884750342
391	AcordaImprensaADemocraciaEstáEmPerigo	1053076412884750342
392	Caixa2doBolsonaro	1053076439216603136
393	Bolsolao	1053076439216603136
394	Caixa2doBolsanaro	1053076442941190144
395	CadeAProva	1053076450449018880
396	MarketeirosDoJair	1053076450449018880
397	MarqueteirosDoJair	1053076459739328512
398	MarketeirosDoJair	1053076459739328512
399	CadêAProvaFolha	1053076462427914241
400	FolhaMarmitaDoPT	1053076462427914241
401	FoiceDeSP	1053076462427914241
402	MarketeirosDoJair	1053076462427914241
403	MarketeirosDoJair	1053076462427914241
404	Caixa2doBolsonaro	1053076464520847360
405	Haddad13	1053076464520847360
406	Caixa2doBolsanaro	1053076480501125126
407	MARKETEIROSDOJAIR	1053076490592632834
408	Caixa2doBolsonaro	1053076497576194048
409	G1	1053076502231814144
410	Eleições2018	1053076502231814144
411	FolhamarmitadoPt	1053076515326476288
412	MarqueteirosDoJair	1053076515326476288
413	G1	1053076530715344896
414	G1Rio	1053076530715344896
415	MarketeirosDoJair	1053076537845669889
416	Folha	1053076551963688961
417	Datafolha	1053076551963688961
418	Eleições2018	1053076551963688961
419	G1	1053076569302974464
420	PTNuncaMais	1053076671367131137
421	Eleições2018	1053076671367131137
422	G1	1053076682238844928
423	PTNÃONUNCAMAIS	1053076704032374784
424	marketeirodojair	1053076710596534272
425	MarqueteirosDoJair	1053076715138887681
426	caixa2bolsonaro	1053076716531392512
427	caixa2bolsonaro	1053076716531392512
428	caixa2bolsonaro	1053076716531392512
429	caixa2bolsonaro	1053076716531392512
430	caixa2bolsonaro	1053076716531392512
431	caixa2bolsonaro	1053076716531392512
432	G1	1053076736945147910
433	Eleições2018	1053076736945147910
