id	tweet	id_user	name	screen_name
18457	1053153734266707968	14594813	Folha de S.Paulo	folha
18458	1053153740394504192	14594813	Folha de S.Paulo	folha
18459	1053153743976517632	14594813	Folha de S.Paulo	folha
18460	1053153766340485121	14594813	Folha de S.Paulo	folha
18461	1053153801706897409	14594813	Folha de S.Paulo	folha
18462	1053153850436321280	14594813	Folha de S.Paulo	folha
18463	1053153854655684608	14594813	Folha de S.Paulo	folha
18464	1053153855041662977	14594813	Folha de S.Paulo	folha
18465	1053153908997189632	14594813	Folha de S.Paulo	folha
18466	1053153915041185792	14594813	Folha de S.Paulo	folha
18467	1053153965679038464	14594813	Folha de S.Paulo	folha
18468	1053153976089276416	14594813	Folha de S.Paulo	folha
18469	1053154013657681920	14594813	Folha de S.Paulo	folha
18470	1053154024718061568	14594813	Folha de S.Paulo	folha
18471	1053154055269298177	14594813	Folha de S.Paulo	folha
18472	1053154094741942272	9317502	Estadão	Estadao
18473	1053154108914446336	14594813	Folha de S.Paulo	folha
18474	1053154113750491136	9317502	Estadão	Estadao
18475	1053154113750491136	75122758	Inter Estadão	EstadaoInter
18476	1053154143676850176	9317502	Estadão	Estadao
18477	1053154143676850176	76369002	Política Estadão	EstadaoPolitica
18478	1053154204930445312	14594813	Folha de S.Paulo	folha
18479	1053154219501457408	8802752	G1	g1
18480	1053154225084084224	14594813	Folha de S.Paulo	folha
18481	1053154229211353088	14594813	Folha de S.Paulo	folha
18482	1053154245841686529	8802752	G1	g1
18483	1053154253102108672	14594813	Folha de S.Paulo	folha
18484	1053154275088625664	14594813	Folha de S.Paulo	folha
18485	1053154296399839232	14594813	Folha de S.Paulo	folha
18486	1053154315303559168	14594813	Folha de S.Paulo	folha
18487	1053154330990333952	14594813	Folha de S.Paulo	folha
18488	1053154331221024774	9317502	Estadão	Estadao
18489	1053154331221024774	75122758	Inter Estadão	EstadaoInter
18490	1053154351542403073	14594813	Folha de S.Paulo	folha
18491	1053154398946377728	14594813	Folha de S.Paulo	folha
18492	1053154418235977728	14594813	Folha de S.Paulo	folha
18493	1053154428839182337	14594813	Folha de S.Paulo	folha
18494	1053154465312899072	9317502	Estadão	Estadao
18495	1053154465312899072	76369002	Política Estadão	EstadaoPolitica
18496	1053154501820071936	14594813	Folha de S.Paulo	folha
18497	1053154535273836549	14594813	Folha de S.Paulo	folha
18498	1053154550243381249	14594813	Folha de S.Paulo	folha
18499	1053154564650790912	14594813	Folha de S.Paulo	folha
18500	1053154586209476609	8802752	G1	g1
18501	1053154609047441408	14594813	Folha de S.Paulo	folha
18502	1053154648335486976	14594813	Folha de S.Paulo	folha
18503	1053154655490969601	14594813	Folha de S.Paulo	folha
18504	1053154657764327424	14594813	Folha de S.Paulo	folha
18505	1053154674801602560	14594813	Folha de S.Paulo	folha
18506	1053154716090277888	9317502	Estadão	Estadao
18507	1053154716090277888	76369002	Política Estadão	EstadaoPolitica
18508	1053154735941996545	8802752	G1	g1
18509	1053154753482498049	8802752	G1	g1
18510	1053154777641684992	14594813	Folha de S.Paulo	folha
18511	1053154796608413696	14594813	Folha de S.Paulo	folha
18512	1053154806708224000	14594813	Folha de S.Paulo	folha
18513	1053154845421699072	14594813	Folha de S.Paulo	folha
18514	1053154958495883265	14594813	Folha de S.Paulo	folha
18515	1053154966247038976	14594813	Folha de S.Paulo	folha
18516	1053155069955334144	9317502	Estadão	Estadao
18517	1053155069955334144	3623816603	Fausto Macedo	fausto_macedo
18518	1053155117430652929	14594813	Folha de S.Paulo	folha
18519	1053155124347092992	14594813	Folha de S.Paulo	folha
18520	1053155190415745025	9317502	Estadão	Estadao
18521	1053155190415745025	75122758	Inter Estadão	EstadaoInter
18522	1053155203174883329	14594813	Folha de S.Paulo	folha
18523	1053155214520389633	14594813	Folha de S.Paulo	folha
18524	1053155214520389633	354095556	Fernando Haddad 13	Haddad_Fernando
18525	1053155214520389633	25858078	Manuela	ManuelaDavila
18526	1053155214520389633	63118359	Maria do Rosario #LulaLivre	mariadorosario
18527	1053155220061077505	14594813	Folha de S.Paulo	folha
18528	1053155268564017155	14594813	Folha de S.Paulo	folha
18529	1053155311220113409	9317502	Estadão	Estadao
18530	1053155311220113409	76369002	Política Estadão	EstadaoPolitica
18531	1053155335312162816	14594813	Folha de S.Paulo	folha
18532	1053155400609075200	14594813	Folha de S.Paulo	folha
18533	1053155411262611456	14594813	Folha de S.Paulo	folha
18534	1053155467587960833	14594813	Folha de S.Paulo	folha
18535	1053155498625810432	14594813	Folha de S.Paulo	folha
18536	1053155505097588737	14594813	Folha de S.Paulo	folha
18537	1053155523535798272	14594813	Folha de S.Paulo	folha
18538	1053155533400682496	9317502	Estadão	Estadao
18539	1053155533400682496	75122758	Inter Estadão	EstadaoInter
18540	1053155534675869696	9317502	Estadão	Estadao
18541	1053155534675869696	793167725925376001	esportefera	esportefera
18542	1053155533597876224	14594813	Folha de S.Paulo	folha
18543	1053155557878697984	14594813	Folha de S.Paulo	folha
18544	1053155564623196160	14594813	Folha de S.Paulo	folha
18545	1053155629148332032	14594813	Folha de S.Paulo	folha
18546	1053155659594772480	9317502	Estadão	Estadao
18547	1053155659594772480	793167725925376001	esportefera	esportefera
18548	1053155670973923328	14594813	Folha de S.Paulo	folha
18549	1053155677403799552	14594813	Folha de S.Paulo	folha
18550	1053155716758933504	9317502	Estadão	Estadao
18551	1053155728372981761	14594813	Folha de S.Paulo	folha
18552	1053155769171038209	9317502	Estadão	Estadao
18553	1053155769171038209	42954726	Sonia Racy	soracy
18554	1053155775135301632	9317502	Estadão	Estadao
18555	1053155775135301632	97293135	Estadão Esportes	EstadaoEsporte
18556	1053155788942966784	8802752	G1	g1
18557	1053155813592834048	14594813	Folha de S.Paulo	folha
18558	1053155820446408704	9317502	Estadão	Estadao
18559	1053155820446408704	76369002	Política Estadão	EstadaoPolitica
18560	1053155836871299073	14594813	Folha de S.Paulo	folha
18561	1053155836967731200	14594813	Folha de S.Paulo	folha
18562	1053155841824747520	14594813	Folha de S.Paulo	folha
18563	1053155843116544000	14594813	Folha de S.Paulo	folha
18564	1053155876297732097	14594813	Folha de S.Paulo	folha
18565	1053155878638153728	14594813	Folha de S.Paulo	folha
18566	1053155897902616576	14594813	Folha de S.Paulo	folha
18567	1053155914218389506	14594813	Folha de S.Paulo	folha
18568	1053155926520328193	14594813	Folha de S.Paulo	folha
18569	1053155931431858176	14594813	Folha de S.Paulo	folha
18570	1053155970292035584	14594813	Folha de S.Paulo	folha
18571	1053155984061931520	9317502	Estadão	Estadao
18572	1053155984061931520	75122758	Inter Estadão	EstadaoInter
18573	1053156038508195840	14594813	Folha de S.Paulo	folha
18574	1053156052709994496	14594813	Folha de S.Paulo	folha
18575	1053156055952359424	14594813	Folha de S.Paulo	folha
18576	1053156075791355904	9317502	Estadão	Estadao
18577	1053156075791355904	78774644	Economia Estadão	EstadaoEconomia
18578	1053156083961946112	14594813	Folha de S.Paulo	folha
18579	1053156088122613760	14594813	Folha de S.Paulo	folha
18580	1053156153843245056	14594813	Folha de S.Paulo	folha
18581	1053156162848329729	14594813	Folha de S.Paulo	folha
18582	1053156257778032640	8802752	G1	g1
18583	1053156261607419904	14594813	Folha de S.Paulo	folha
18584	1053156263742324736	8802752	G1	g1
18585	1053156305039511553	14594813	Folha de S.Paulo	folha
18586	1053156319203676161	14594813	Folha de S.Paulo	folha
18587	1053156337952194560	9317502	Estadão	Estadao
18588	1053156337952194560	78774644	Economia Estadão	EstadaoEconomia
18589	1053156345602625536	9317502	Estadão	Estadao
18590	1053156345602625536	1043554044550221824	maria di	mariadi34338640
18591	1053156397448380417	14594813	Folha de S.Paulo	folha
18592	1053156467216433152	8802752	G1	g1
18593	1053156469963665408	14594813	Folha de S.Paulo	folha
18594	1053156480965328896	9317502	Estadão	Estadao
18595	1053156481762291712	14594813	Folha de S.Paulo	folha
18596	1053156490033459200	14594813	Folha de S.Paulo	folha
18597	1053156501727141888	9317502	Estadão	Estadao
18598	1053156501727141888	793167725925376001	esportefera	esportefera
18599	1053156508626837504	14594813	Folha de S.Paulo	folha
18600	1053156532743999493	9317502	Estadão	Estadao
18601	1053156532743999493	76369002	Política Estadão	EstadaoPolitica
